,id,name,geometry
693930,456,E 53 St & Madison Ave,POINT (-73.97402311 40.75971079999999)
698647,457,Broadway & W 58 St,POINT (-73.98169333 40.76695317)
706729,458,11 Ave & W 27 St,POINT (-74.00522600000001 40.751396)
713639,459,W 20 St & 11 Ave,POINT (-74.007756 40.746745)
723129,460,S 4 St & Wythe Ave,POINT (-73.96590294000001 40.71285887)
727831,461,E 20 St & 2 Ave,POINT (-73.98205027 40.73587678)
732611,462,W 22 St & 10 Ave,POINT (-74.00451887 40.74691959)
738968,465,Broadway & W 41 St,POINT (-73.98658032 40.75513557)
745826,466,W 25 St & 6 Ave,POINT (-73.99144871 40.74395411)
751626,467,Dean St & 4 Ave,POINT (-73.97895137 40.68312489)
754155,468,Broadway & W 56 St,POINT (-73.98192338 40.7652654)
758981,469,Broadway & W 53 St,POINT (-73.98268129 40.76344058)
763528,470,W 20 St & 8 Ave,POINT (-74.00004031 40.74345335)
767283,471,Grand St & Havemeyer St,POINT (-73.95698118999999 40.71286844)
769437,472,E 32 St & Park Ave,POINT (-73.98194829000001 40.74571210000001)
775296,473,Rivington St & Chrystie St,POINT (-73.99192540000001 40.72110063)
778240,474,5 Ave & E 29 St,POINT (-73.98683077 40.7451677)
783484,476,E 31 St & 3 Ave,POINT (-73.97966069 40.74394314)
787979,477,W 41 St & 8 Ave,POINT (-73.9900262 40.75640548)
796637,478,11 Ave & W 41 St,POINT (-73.99884222 40.76030096)
801777,479,9 Ave & W 45 St,POINT (-73.9912551 40.76019252)
808002,480,W 53 St & 10 Ave,POINT (-73.99061728 40.76669671)
812018,481,S 3 St & Bedford Ave,POINT (-73.96264403000001 40.71260486)
814516,482,W 15 St & 7 Ave,POINT (-73.99931783 40.73935542)
820440,483,E 12 St & 3 Ave,POINT (-73.98889957 40.73223272)
826020,484,W 44 St & 5 Ave,POINT (-73.98014437 40.75500254)
828977,485,W 37 St & 5 Ave,POINT (-73.98338988 40.75038009)
832324,486,Broadway & W 29 St,POINT (-73.98855723 40.7462009)
837693,487,E 20 St & FDR Drive,POINT (-73.97573881 40.73314259)
843186,490,8 Ave & W 33 St,POINT (-73.993934 40.751551)
851475,491,E 24 St & Park Ave S,POINT (-73.98602212999999 40.74096374)
857571,492,W 33 St & 7 Ave,POINT (-73.99093085 40.75019995)
865410,494,W 26 St & 8 Ave,POINT (-73.99723551 40.74734825)
871404,495,W 47 St & 10 Ave,POINT (-73.99301222 40.76269882)
875875,496,E 16 St & 5 Ave,POINT (-73.99238966999999 40.73726186)
881465,497,E 17 St & Broadway,POINT (-73.99009296 40.73704984)
892439,498,Broadway & W 32 St,POINT (-73.98808416 40.74854862)
898457,499,Broadway & W 60 St,POINT (-73.98191841000001 40.76915505)
908165,500,Broadway & W 51 St,POINT (-73.98336183000001 40.76228826)
912013,501,FDR Drive & E 35 St,POINT (-73.97121214000001 40.744219)
917092,502,Henry St & Grand St,POINT (-73.981346 40.714215)
920407,503,E 20 St & Park Ave,POINT (-73.98751968000001 40.73827428)
925283,504,1 Ave & E 16 St,POINT (-73.98165557 40.73221853)
931849,505,6 Ave & W 33 St,POINT (-73.98848395 40.74901271)
940131,507,E 25 St & 2 Ave,POINT (-73.97973776000001 40.73912601)
945141,508,W 46 St & 11 Ave,POINT (-73.99667444000001 40.76341379)
949561,509,9 Ave & W 22 St,POINT (-74.00197138999999 40.7454973)
956112,513,W 56 St & 10 Ave,POINT (-73.98863900000001 40.768254)
959210,514,12 Ave & W 40 St,POINT (-74.00277668 40.76087502)
970459,515,W 43 St & 10 Ave,POINT (-73.99461843 40.76009437)
975327,516,E 47 St & 1 Ave,POINT (-73.96784384 40.75206862)
977471,517,Pershing Square South,POINT (-73.97790999999999 40.751581)
981941,518,E 39 St & 2 Ave,POINT (-73.97344190000001 40.74780373)
987386,519,Pershing Square North,POINT (-73.97770600000001 40.751873)
1002274,520,W 52 St & 5 Ave,POINT (-73.97648516 40.75992262)
1005884,523,W 38 St & 8 Ave,POINT (-73.99138152 40.75466591)
1012471,524,W 43 St & 6 Ave,POINT (-73.98316936000001 40.75527307)
1017099,525,W 34 St & 11 Ave,POINT (-74.0021163 40.75594159)
1021354,526,E 33 St & 5 Ave,POINT (-73.98490707000001 40.74765947)
1025186,528,2 Ave & E 31 St,POINT (-73.97706058 40.74290902)
1030642,529,W 42 St & 8 Ave,POINT (-73.99098506999999 40.75756989999999)
1035453,530,11 Ave & W 59 St,POINT (-73.99054100000001 40.771522)
1040062,531,Forsyth St & Broome St,POINT (-73.99266288 40.71893904)
1045175,532,S 5 Pl & S 5 St,POINT (-73.960876 40.710451)
