,address,lng,lat
186,140 QUINCY,-73.9554689,40.68615
187,110 WALWORTH STREET,-73.95468919999999,40.6955773
188,960 KENT AVENUE,-73.9590544,40.6916821
189,880 MYRTLE AVENUE,-73.85839399999999,40.7029357
190,540 LAFAYETTE AVENUE,-74.1557301,40.9566161
191,770 KENT AVENUE,-73.9601788,40.6984065
192,310 GREENE AVENUE,-73.9585067,40.68738279999999
193,320 GREENE AVENUE,-73.95813930000001,40.6874465
194,130 CLIFTON PLACE,-73.959237,40.687988
195,140 CLIFTON PLACE,-73.9588976,40.6880814
196,460 FLUSHING AVENUE,-73.95629509999999,40.6989685
197,680 MYRTLE AVENUE,-73.9565811,40.6943533
198,680 MYRTLE AVE,-73.9565811,40.6943533
199,80 SPENCER STREET,-73.95566749999999,40.6963475
200,800 BEDFORD AVENUE,-73.9569684,40.69722780000001
201,190 SPENCER STREET,-73.95503719999999,40.69265670000001
202,40 SKILLMAN STREET,-73.95794819999999,40.6974991
203,600 MYRTLE AVENUE,-73.960332,40.6939105
204,120 SKILLMAN STREET,-73.9575424,40.6947791
205,110 SKILLMAN STREET,-73.9574839,40.695133
206,180 FRANKLIN AVENUE,-73.95805,40.69337
207,150 SKILLMAN STREET,-73.957079,40.6938445
208,260 CLASSON AVE,-73.96104310000001,40.69090320000001
209,970 KENT AVENUE,-73.9589888,40.691334
210,220 SKILLMAN STREET,-73.9567271,40.69159519999999
211,260 SKILLMAN STREET,-73.9563782,40.6903269
212,90 LEXINGTON AVENUE,-73.95371589999999,40.782063
213,100 LEXINGTON AVENUE,-73.9829829,40.7421944
214,1120 BEDFORD AVENUE,-73.954744,40.686226
215,310 GATES AVENUE,-73.9545444,40.6856059
216,1140 BEDFORD AVENUE,-76.3018866,36.9000295
217,860 GREENE AVENUE,-73.933668,40.690173
218,320 MAC DONOUGH STREET,-73.9338925,40.681911
219,810 BEDFORD AVENUE,-73.9567847,40.6968926
220,500 PARK AVENUE,-76.6185998,39.2951837
221,230 SPENCER STREET,-73.9547987,40.6915014
222,70 HANCOCK STREET,-74.0953194,40.5886382
223,350 HALSEY STREET,-73.93995,40.682679
224,50 SKILLMAN STREET,-73.957732,40.6971306
225,490 PARK AVE.,-74.1444569,40.913372
226,830 KENT AVENUE,-73.9599345,40.6961204
227,160 TAAFFE PLACE,-73.9601428,40.694044
